# Mass  +1sig   -1sig   spin    +1sig   -1sig   age[yrs]  Mc[SM]  Torb[days] From 2009.07206
15.65   1.45    1.45    0.84    0.05    0.05    2.0e6       1.0     100.0
14.8    1.00    1.00    0.98    0.01    0.01    1.0e9       1.0     100.0
11.0    1.40    1.40    0.63    0.16    0.16    1.0e9       1.0     100.0
10.1    0.60    0.60    0.97    0.01    0.01    1.0e9       1.0     100.0
10.9    1.40    1.40    0.92    0.05    0.07    1.0e9       1.0     100.0
9.40    1.00    1.00    0.80    0.10    0.10    1.0e9       1.0     100.0
9.10    0.61    0.61    0.34    0.37    0.34    1.0e9       1.0     100.0
6.98    0.56    0.56    0.25    0.13    0.16    1.0e9       1.0     100.0
6.61    0.25    0.25    0.12    0.19    0.19    1.0e9       1.0     100.0
6.45    1.55    1.55    0.95    0.02    0.01    1.0e9       1.0     100.0
6.30    0.50    0.50    0.70    0.10    0.10    1.0e9       1.0     100.0
