55    322    Inf
752    752    321    Inf
752    752    322    Inf
752    753    321    Inf
752    753    322    Inf
752    754    321    Inf
752    754    322    Inf
752    755    321    Inf
752    755    322    Inf
753    753    321    Inf
753    753    322    Inf
753    754    321    Inf
753    754    322    Inf
753    755    321    Inf
753    755    322    Inf
754    754    321    Inf
754    754    322    Inf
754    755    321    Inf
754    755    322    Inf
755    755    321    Inf
755    755    322    Inf
751    761    311    Inf
751    762    311    Inf
751    763    311    Inf
751    764    311    Inf
751    765    311    Inf
751    766    311    Inf
752    761    311    Inf
752    762    311    Inf
752    763    311    Inf
752    764    311    Inf
752    765    311    Inf
752    766    311    Inf
753    761    311    Inf
753    762    311    Inf
753    763    311    Inf
753    764    311    Inf
753    765    311    Inf
753    766    311    Inf
754    761    311    Inf
754    762    311    Inf
754    763    311    Inf
754    764    311    Inf
754    765    311    Inf
754    766    311    Inf
755    761    311    Inf
755    762    311    Inf
755    763    311    Inf
755    764    311    Inf
755    765    311    Inf
755    766    311    Inf
751    761    321    Inf
751    761    322    Inf
751    762    321    Inf
751    762    322    Inf
751    763    321    Inf
751    763    322    Inf
751    764    321    Inf
751    764    322    Inf
751    765    321    Inf
751    765    322    Inf
751    766    321    Inf
751    766    322    Inf
752    761    321    Inf
752    761    322    Inf
752    762    321    Inf
752    762    322    Inf
752    763    321    Inf
752    763    322    Inf
752    764    321    Inf
752    764    322    Inf
752    765    321    Inf
752    765    322    Inf
752    766    321    Inf
752    766    322    Inf
753    761    321    Inf
753    761    322    Inf
753    762    321    Inf
753    762    322    Inf
753    763    321    Inf
753    763    322    Inf
753    764    321    Inf
753    764    322    Inf
753    765    321    Inf
753    765    322    Inf
753    766    321    Inf
753    766    322    Inf
754    761    321    Inf
754    761    322    Inf
754    762    321    Inf
754    762    322    Inf
754    763    321    Inf
754    763    322    Inf
754    764    321    Inf
754    764    322    Inf
754    765    321    Inf
754    765    322    Inf
754    766    321    Inf
754    766    322    Inf
755    761    321    Inf
755    761    322    Inf
755    762    321    Inf
755    762    322    Inf
755    763    321    Inf
755    763    322    Inf
755    764    321    Inf
755    764    322    Inf
755    765    321    Inf
755    765    322    Inf
755    766    321    Inf
755    766    322    Inf
761    761    311    Inf
761    762    311    Inf
761    763    311    Inf
761    764    311    Inf
761    765    311    Inf
761    766    311    Inf
762    762    311    Inf
762    763    311    Inf
762    764    311    Inf
762    765    311    Inf
762    766    311    Inf
763    763    311    Inf
763    764    311    Inf
763    765    311    Inf
763    766    311    Inf
764    764    311    Inf
764    765    311    Inf
764    766    311    Inf
765    765    311    Inf
765    766    311    Inf
766    766    311    Inf
761    761    321    Inf
761    761    322    Inf
761    762    321    Inf
761    762    322    Inf
761    763    321    Inf
761    763    322    Inf
761    764    321    Inf
761    764    322    Inf
761    765    321    Inf
761    765    322    Inf
761    766    321    Inf
761    766    322    Inf
762    762    321    Inf
762    762    322    Inf
762    763    321    Inf
762    763    322    Inf
762    764    321    Inf
762    764    322    Inf
762    765    321    Inf
762    765    322    Inf
762    766    321    Inf
762    766    322    Inf
763    763    321    Inf
763    763    322    Inf
763    764    321    Inf
763    764    322    Inf
763    765    321    Inf
763    765    322    Inf
763    766    321    Inf
763    766    322    Inf
764    764    321    Inf
764    764    322    Inf
764    765    321    Inf
764    765    322    Inf
764    766    321    Inf
764    766    322    Inf
765    765    321    Inf
765    765    322    Inf
765    766    321    Inf
765    766    322    Inf
766    766    321    Inf
766    766    322    Inf
711    711    411    Inf
711    711    421    Inf
711    711    422    Inf
711    711    431    Inf
711    711    432    Inf
711    711    433    Inf
711    721    411    Inf
711    722    411    Inf
711    721    421    Inf
711    721    422    Inf
711    722    421    Inf
711    722    422    Inf
711    721    431    Inf
711    721    432    Inf
711    721    433    Inf
711    722    431    Inf
711    722    432    Inf
711    722    433    Inf
711    731    411    Inf
711    732    411    Inf
711    733    411    Inf
711    731    421    Inf
711    731    422    Inf
711    732    421    Inf
711    732    422    Inf
711    733    421    Inf
711    733    422    Inf
711    731    431    Inf
711    731    432    Inf
711    731    433    Inf
711    732    431    Inf
711    732    432    Inf
711    732    433    Inf
711    733    431    Inf
711    733    432    Inf
711    733    433    Inf
711    741    411    Inf
711    742    411    Inf
711    743    411    Inf
711    744    411    Inf
711    741    421    Inf
711    741    422    Inf
711    742    421    Inf
711    742    422    Inf
711    743    421    Inf
711    743    422    Inf
711    744    421    Inf
711    744    422    Inf
711    741    431    Inf
711    741    432    Inf
711    741    433    Inf
711    742    431    Inf
711    742    432    Inf
711    742    433    Inf
711    743    431    Inf
711    743    432    Inf
711    743    433    Inf
711    744    431    Inf
711    744    432    Inf
711    744    433    Inf
711    751    411    Inf
711    752    411    Inf
711    753    411    Inf
711    754    411    Inf
711    755    411    Inf
711    751    421    Inf
711    751    422    Inf
711    752    421    Inf
711    752    422    Inf
711    753    421    Inf
711    753    422    Inf
711    754    421    Inf
711    754    422    Inf
711    755    421    Inf
711    755    422    Inf
711    751    431    Inf
711    751    432    Inf
711    751    433    Inf
711    752    431    Inf
711    752    432    Inf
711    752    433    Inf
711    753    431    Inf
711    753    432    Inf
711    753    433    Inf
711    754    431    Inf
711    754    432    Inf
711    754    433    Inf
711    755    431    Inf
711    755    432    Inf
711    755    433    Inf
711    761    411    Inf
711    762    411    Inf
711    763    411    Inf
711    764    411    Inf
711    765    411    Inf
711    766    411    Inf
711    761    421    Inf
711    761    422    Inf
711    762    421    Inf
711    762    422    Inf
711    763    421    Inf
711    763    422    Inf
711    764    421    Inf
711    764    422    Inf
